U250;I250;U266;I266
0;0,11;0;0,11
0,474;0,11;0,337;0,11
0,611;0,19;0,469;0,14
0,67;0,3;0,541;0,2
0,718;0,49;0,72;1,07
0,813;1,38;0,866;5,12
1,008;9,92;1,076;27,05
1,18;31,62;1,281;68,52
1,239;41,55;1,384;92,81
1,318;56,1;1,5;118,91
1,527;95,8;1,627;143,52
1,731;120,08;1,791;163,69
1,819;123,65;1,956;169,54
1,86;125,2;2,073;166,67
1,939;125,29;2,163;162,01
2,08;116,85;2,278;154,42
2,258;102,34;2,4;145,61
2,517;82,85;2,639;130,13
2,766;65,23;2,818;119,47
2,919;57,3;3,019;109,11
3,015;53,12;3,296;96,59
3,208;46,91;3,479;89,95
3,431;43,8;3,728;80,8
4,066;32,23;4,11;70,34
4,284;29,84;4,428;64,01
4,566;27,3;4,872;57,11
5,075;24,41;5,291;52,53
5,54;22,43;5,758;49,21
6,1;21,6;6,343;46,8
7,22;21,51;6,683;45,9
8,263;23,6;7,014;45,79
9,336;27,62;7,411;46,9
6,333;22,34;7,653;47,9
6,64;22,12;8,091;50,19
7,2;21,5;8,344;51,72
7,47;21,6;8,8;54,3
7,79;22;9,164;58,36
10,3;36,83;9,61;63,62
11,03;40,9;10,097;77,54
7,5;33,7;;
7,9;31;;
8,2;30,5;;
8,8;32,5;;
9,663;37,6;;
10,123;45,73;;
11,22;54,52;;
